RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
,,,,,,
MH 02,"₹2,51,776 - ₹2,67,350
 Price range for this vehicle in Fair condition","₹2,58,232 - ₹2,74,205
 Price range for this vehicle in Good condition","₹2,64,688 - ₹2,81,060
 Price range for this vehicle in Very Good condition","₹2,71,143 - ₹2,87,915
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,30,162 - ₹3,50,585
 Price range for this vehicle in Fair condition","₹3,38,628 - ₹3,59,574
 Price range for this vehicle in Good condition","₹3,47,093 - ₹3,68,562
 Price range for this vehicle in Very Good condition","₹3,55,558 - ₹3,77,552
 Price range for this vehicle in Excellent condition","8.5



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,43,278 - ₹3,64,511
 Price range for this vehicle in Fair condition","₹3,52,080 - ₹3,73,858
 Price range for this vehicle in Good condition","₹3,60,882 - ₹3,83,204
 Price range for this vehicle in Very Good condition","₹3,69,684 - ₹3,92,551
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹4,71,173 - ₹5,00,318
 Price range for this vehicle in Fair condition","₹4,83,254 - ₹5,13,146
 Price range for this vehicle in Good condition","₹4,95,335 - ₹5,25,975
 Price range for this vehicle in Very Good condition","₹5,07,417 - ₹5,38,803
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹1,59,394 - ₹1,69,254
 Price range for this vehicle in Fair condition","₹1,63,481 - ₹1,73,593
 Price range for this vehicle in Good condition","₹1,67,568 - ₹1,77,933
 Price range for this vehicle in Very Good condition","₹1,71,655 - ₹1,82,273
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹4,48,326 - ₹4,76,058
 Price range for this vehicle in Fair condition","₹4,59,822 - ₹4,88,265
 Price range for this vehicle in Good condition","₹4,71,317 - ₹5,00,471
 Price range for this vehicle in Very Good condition","₹4,82,813 - ₹5,12,678
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 47,"₹9,13,937 - ₹9,70,469
 Price range for this vehicle in Fair condition","₹9,37,371 - ₹9,95,353
 Price range for this vehicle in Good condition","₹9,60,805 - ₹10,20,237
 Price range for this vehicle in Very Good condition","₹9,84,240 - ₹10,45,121
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹2,00,156 - ₹2,12,537
 Price range for this vehicle in Fair condition","₹2,05,288 - ₹2,17,986
 Price range for this vehicle in Good condition","₹2,10,420 - ₹2,23,435
 Price range for this vehicle in Very Good condition","₹2,15,553 - ₹2,28,886
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 46,"₹3,40,258 - ₹3,61,305
 Price range for this vehicle in Fair condition","₹3,48,982 - ₹3,70,569
 Price range for this vehicle in Good condition","₹3,57,708 - ₹3,79,834
 Price range for this vehicle in Very Good condition","₹3,66,432 - ₹3,89,098
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹3,51,867 - ₹3,73,632
 Price range for this vehicle in Fair condition","₹3,60,890 - ₹3,83,213
 Price range for this vehicle in Good condition","₹3,69,912 - ₹3,92,793
 Price range for this vehicle in Very Good condition","₹3,78,934 - ₹4,02,373
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹4,09,621 - ₹4,34,959
 Price range for this vehicle in Fair condition","₹4,20,125 - ₹4,46,112
 Price range for this vehicle in Good condition","₹4,30,627 - ₹4,57,265
 Price range for this vehicle in Very Good condition","₹4,41,130 - ₹4,68,417
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH O2,"₹5,24,888 - ₹5,57,355
 Price range for this vehicle in Fair condition","₹5,38,346 - ₹5,71,646
 Price range for this vehicle in Good condition","₹5,51,804 - ₹5,85,937
 Price range for this vehicle in Very Good condition","₹5,65,263 - ₹6,00,229
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹1,90,320 - ₹2,02,092
 Price range for this vehicle in Fair condition","₹1,95,201 - ₹2,07,275
 Price range for this vehicle in Good condition","₹2,00,080 - ₹2,12,456
 Price range for this vehicle in Very Good condition","₹2,04,960 - ₹2,17,638
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹4,12,450 - ₹4,37,961
 Price range for this vehicle in Fair condition","₹4,23,025 - ₹4,49,191
 Price range for this vehicle in Good condition","₹4,33,601 - ₹4,60,421
 Price range for this vehicle in Very Good condition","₹4,44,176 - ₹4,71,651
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹2,74,071 - ₹2,91,024
 Price range for this vehicle in Fair condition","₹2,81,099 - ₹2,98,487
 Price range for this vehicle in Good condition","₹2,88,126 - ₹3,05,949
 Price range for this vehicle in Very Good condition","₹2,95,154 - ₹3,13,411
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹1,99,202 - ₹2,11,523
 Price range for this vehicle in Fair condition","₹2,04,309 - ₹2,16,946
 Price range for this vehicle in Good condition","₹2,09,417 - ₹2,22,370
 Price range for this vehicle in Very Good condition","₹2,14,525 - ₹2,27,794
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,24,848 - ₹3,44,942
 Price range for this vehicle in Fair condition","₹3,33,178 - ₹3,53,787
 Price range for this vehicle in Good condition","₹3,41,507 - ₹3,62,631
 Price range for this vehicle in Very Good condition","₹3,49,836 - ₹3,71,476
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
GJ 01,"₹4,50,596 - ₹4,78,467
 Price range for this vehicle in Fair condition","₹4,62,149 - ₹4,90,736
 Price range for this vehicle in Good condition","₹4,73,703 - ₹5,03,004
 Price range for this vehicle in Very Good condition","₹4,85,257 - ₹5,15,273
 Price range for this vehicle in Excellent condition","3.4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹2,95,766 - ₹3,14,061
 Price range for this vehicle in Fair condition","₹3,03,350 - ₹3,22,113
 Price range for this vehicle in Good condition","₹3,10,933 - ₹3,30,166
 Price range for this vehicle in Very Good condition","₹3,18,517 - ₹3,38,219
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹6,08,465 - ₹6,46,101
 Price range for this vehicle in Fair condition","₹6,24,067 - ₹6,62,669
 Price range for this vehicle in Good condition","₹6,39,668 - ₹6,79,235
 Price range for this vehicle in Very Good condition","₹6,55,270 - ₹6,95,802
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹2,13,325 - ₹2,26,520
 Price range for this vehicle in Fair condition","₹2,18,795 - ₹2,32,329
 Price range for this vehicle in Good condition","₹2,24,265 - ₹2,38,137
 Price range for this vehicle in Very Good condition","₹2,29,735 - ₹2,43,945
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹2,20,533 - ₹2,34,174
 Price range for this vehicle in Fair condition","₹2,26,188 - ₹2,40,179
 Price range for this vehicle in Good condition","₹2,31,843 - ₹2,46,184
 Price range for this vehicle in Very Good condition","₹2,37,498 - ₹2,52,188
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
DN 09,"₹6,61,650 - ₹7,02,576
 Price range for this vehicle in Fair condition","₹6,78,615 - ₹7,20,591
 Price range for this vehicle in Good condition","₹6,95,580 - ₹7,38,606
 Price range for this vehicle in Very Good condition","₹7,12,545 - ₹7,56,620
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 05,"₹2,34,398 - ₹2,48,897
 Price range for this vehicle in Fair condition","₹2,40,408 - ₹2,55,279
 Price range for this vehicle in Good condition","₹2,46,419 - ₹2,61,661
 Price range for this vehicle in Very Good condition","₹2,52,429 - ₹2,68,044
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 47,"₹4,48,881 - ₹4,76,647
 Price range for this vehicle in Fair condition","₹4,60,390 - ₹4,88,868
 Price range for this vehicle in Good condition","₹4,71,900 - ₹5,01,090
 Price range for this vehicle in Very Good condition","₹4,83,410 - ₹5,13,312
 Price range for this vehicle in Excellent condition","3.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹2,36,478 - ₹2,51,105
 Price range for this vehicle in Fair condition","₹2,42,541 - ₹2,57,544
 Price range for this vehicle in Good condition","₹2,48,606 - ₹2,63,983
 Price range for this vehicle in Very Good condition","₹2,54,669 - ₹2,70,422
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹1,53,865 - ₹1,63,383
 Price range for this vehicle in Fair condition","₹1,57,810 - ₹1,67,572
 Price range for this vehicle in Good condition","₹1,61,755 - ₹1,71,761
 Price range for this vehicle in Very Good condition","₹1,65,701 - ₹1,75,950
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹5,32,441 - ₹5,65,376
 Price range for this vehicle in Fair condition","₹5,46,094 - ₹5,79,873
 Price range for this vehicle in Good condition","₹5,59,746 - ₹5,94,370
 Price range for this vehicle in Very Good condition","₹5,73,399 - ₹6,08,866
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹3,35,242 - ₹3,55,978
 Price range for this vehicle in Fair condition","₹3,43,838 - ₹3,65,106
 Price range for this vehicle in Good condition","₹3,52,433 - ₹3,74,234
 Price range for this vehicle in Very Good condition","₹3,61,029 - ₹3,83,361
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹8,97,065 - ₹9,52,553
 Price range for this vehicle in Fair condition","₹9,20,066 - ₹9,76,978
 Price range for this vehicle in Good condition","₹9,43,068 - ₹10,01,402
 Price range for this vehicle in Very Good condition","₹9,66,070 - ₹10,25,827
 Price range for this vehicle in Excellent condition","3.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹4,79,916 - ₹5,09,602
 Price range for this vehicle in Fair condition","₹4,92,222 - ₹5,22,669
 Price range for this vehicle in Good condition","₹5,04,527 - ₹5,35,735
 Price range for this vehicle in Very Good condition","₹5,16,833 - ₹5,48,802
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹2,59,230 - ₹2,75,264
 Price range for this vehicle in Fair condition","₹2,65,877 - ₹2,82,323
 Price range for this vehicle in Good condition","₹2,72,524 - ₹2,89,381
 Price range for this vehicle in Very Good condition","₹2,79,171 - ₹2,96,439
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹2,14,634 - ₹2,27,910
 Price range for this vehicle in Fair condition","₹2,20,137 - ₹2,33,754
 Price range for this vehicle in Good condition","₹2,25,641 - ₹2,39,598
 Price range for this vehicle in Very Good condition","₹2,31,144 - ₹2,45,442
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹6,26,356 - ₹6,65,099
 Price range for this vehicle in Fair condition","₹6,42,416 - ₹6,82,153
 Price range for this vehicle in Good condition","₹6,58,476 - ₹6,99,207
 Price range for this vehicle in Very Good condition","₹6,74,537 - ₹7,16,261
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,58,948 - ₹3,81,151
 Price range for this vehicle in Fair condition","₹3,68,152 - ₹3,90,924
 Price range for this vehicle in Good condition","₹3,77,356 - ₹4,00,697
 Price range for this vehicle in Very Good condition","₹3,86,559 - ₹4,10,470
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹5,84,378 - ₹6,20,525
 Price range for this vehicle in Fair condition","₹5,99,362 - ₹6,36,436
 Price range for this vehicle in Good condition","₹6,14,346 - ₹6,52,347
 Price range for this vehicle in Very Good condition","₹6,29,330 - ₹6,68,258
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹4,03,045 - ₹4,27,975
 Price range for this vehicle in Fair condition","₹4,13,379 - ₹4,38,949
 Price range for this vehicle in Good condition","₹4,23,714 - ₹4,49,923
 Price range for this vehicle in Very Good condition","₹4,34,049 - ₹4,60,896
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 46,"₹13,15,515 - ₹13,96,887
 Price range for this vehicle in Fair condition","₹13,49,247 - ₹14,32,705
 Price range for this vehicle in Good condition","₹13,82,977 - ₹14,68,522
 Price range for this vehicle in Very Good condition","₹14,16,708 - ₹15,04,340
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹14,22,676 - ₹15,10,676
 Price range for this vehicle in Fair condition","₹14,59,154 - ₹15,49,411
 Price range for this vehicle in Good condition","₹14,95,633 - ₹15,88,147
 Price range for this vehicle in Very Good condition","₹15,32,113 - ₹16,26,882
 Price range for this vehicle in Excellent condition","3.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 14,"₹1,20,946 - ₹1,28,427
 Price range for this vehicle in Fair condition","₹1,24,047 - ₹1,31,720
 Price range for this vehicle in Good condition","₹1,27,148 - ₹1,35,013
 Price range for this vehicle in Very Good condition","₹1,30,250 - ₹1,38,306
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹2,82,604 - ₹3,00,085
 Price range for this vehicle in Fair condition","₹2,89,850 - ₹3,07,779
 Price range for this vehicle in Good condition","₹2,97,097 - ₹3,15,474
 Price range for this vehicle in Very Good condition","₹3,04,343 - ₹3,23,168
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,19,732 - ₹3,39,509
 Price range for this vehicle in Fair condition","₹3,27,929 - ₹3,48,214
 Price range for this vehicle in Good condition","₹3,36,128 - ₹3,56,920
 Price range for this vehicle in Very Good condition","₹3,44,326 - ₹3,65,625
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹2,78,896 - ₹2,96,148
 Price range for this vehicle in Fair condition","₹2,86,048 - ₹3,03,741
 Price range for this vehicle in Good condition","₹2,93,198 - ₹3,11,335
 Price range for this vehicle in Very Good condition","₹3,00,350 - ₹3,18,928
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 47,"₹6,37,706 - ₹6,77,152
 Price range for this vehicle in Fair condition","₹6,54,057 - ₹6,94,514
 Price range for this vehicle in Good condition","₹6,70,409 - ₹7,11,877
 Price range for this vehicle in Very Good condition","₹6,86,760 - ₹7,29,240
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹5,51,065 - ₹5,85,152
 Price range for this vehicle in Fair condition","₹5,65,195 - ₹6,00,156
 Price range for this vehicle in Good condition","₹5,79,325 - ₹6,15,160
 Price range for this vehicle in Very Good condition","₹5,93,455 - ₹6,30,164
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹4,07,707 - ₹4,32,926
 Price range for this vehicle in Fair condition","₹4,18,161 - ₹4,44,026
 Price range for this vehicle in Good condition","₹4,28,615 - ₹4,55,127
 Price range for this vehicle in Very Good condition","₹4,39,068 - ₹4,66,228
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹6,41,374 - ₹6,81,047
 Price range for this vehicle in Fair condition","₹6,57,819 - ₹6,98,509
 Price range for this vehicle in Good condition","₹6,74,265 - ₹7,15,973
 Price range for this vehicle in Very Good condition","₹6,90,710 - ₹7,33,435
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹2,37,174 - ₹2,51,846
 Price range for this vehicle in Fair condition","₹2,43,256 - ₹2,58,303
 Price range for this vehicle in Good condition","₹2,49,338 - ₹2,64,760
 Price range for this vehicle in Very Good condition","₹2,55,419 - ₹2,71,218
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹4,10,985 - ₹4,36,406
 Price range for this vehicle in Fair condition","₹4,21,522 - ₹4,47,596
 Price range for this vehicle in Good condition","₹4,32,061 - ₹4,58,786
 Price range for this vehicle in Very Good condition","₹4,42,599 - ₹4,69,977
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹3,67,048 - ₹3,89,752
 Price range for this vehicle in Fair condition","₹3,76,459 - ₹3,99,745
 Price range for this vehicle in Good condition","₹3,85,871 - ₹4,09,740
 Price range for this vehicle in Very Good condition","₹3,95,283 - ₹4,19,733
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹4,42,241 - ₹4,69,596
 Price range for this vehicle in Fair condition","₹4,53,580 - ₹4,81,636
 Price range for this vehicle in Good condition","₹4,64,920 - ₹4,93,678
 Price range for this vehicle in Very Good condition","₹4,76,259 - ₹5,05,719
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 06,"₹1,46,316 - ₹1,55,367
 Price range for this vehicle in Fair condition","₹1,50,068 - ₹1,59,351
 Price range for this vehicle in Good condition","₹1,53,820 - ₹1,63,334
 Price range for this vehicle in Very Good condition","₹1,57,572 - ₹1,67,318
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹5,71,296 - ₹6,06,634
 Price range for this vehicle in Fair condition","₹5,85,945 - ₹6,22,189
 Price range for this vehicle in Good condition","₹6,00,593 - ₹6,37,743
 Price range for this vehicle in Very Good condition","₹6,15,242 - ₹6,53,298
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹2,06,606 - ₹2,19,385
 Price range for this vehicle in Fair condition","₹2,11,903 - ₹2,25,010
 Price range for this vehicle in Good condition","₹2,17,201 - ₹2,30,636
 Price range for this vehicle in Very Good condition","₹2,22,498 - ₹2,36,261
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹2,24,184 - ₹2,38,051
 Price range for this vehicle in Fair condition","₹2,29,932 - ₹2,44,155
 Price range for this vehicle in Good condition","₹2,35,681 - ₹2,50,259
 Price range for this vehicle in Very Good condition","₹2,41,429 - ₹2,56,363
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,74,163 - ₹3,97,307
 Price range for this vehicle in Fair condition","₹3,83,757 - ₹4,07,494
 Price range for this vehicle in Good condition","₹3,93,351 - ₹4,17,682
 Price range for this vehicle in Very Good condition","₹4,02,945 - ₹4,27,869
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹3,78,622 - ₹4,02,042
 Price range for this vehicle in Fair condition","₹3,88,330 - ₹4,12,350
 Price range for this vehicle in Good condition","₹3,98,038 - ₹4,22,659
 Price range for this vehicle in Very Good condition","₹4,07,746 - ₹4,32,968
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹6,02,380 - ₹6,39,640
 Price range for this vehicle in Fair condition","₹6,17,825 - ₹6,56,041
 Price range for this vehicle in Good condition","₹6,33,271 - ₹6,72,442
 Price range for this vehicle in Very Good condition","₹6,48,716 - ₹6,88,843
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹1,28,261 - ₹1,36,195
 Price range for this vehicle in Fair condition","₹1,31,550 - ₹1,39,687
 Price range for this vehicle in Good condition","₹1,34,839 - ₹1,43,179
 Price range for this vehicle in Very Good condition","₹1,38,128 - ₹1,46,671
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,99,377 - ₹4,24,080
 Price range for this vehicle in Fair condition","₹4,09,617 - ₹4,34,954
 Price range for this vehicle in Good condition","₹4,19,858 - ₹4,45,828
 Price range for this vehicle in Very Good condition","₹4,30,098 - ₹4,56,702
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹2,04,294 - ₹2,16,930
 Price range for this vehicle in Fair condition","₹2,09,532 - ₹2,22,492
 Price range for this vehicle in Good condition","₹2,14,770 - ₹2,28,055
 Price range for this vehicle in Very Good condition","₹2,20,008 - ₹2,33,617
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
AS 06,"₹5,64,556 - ₹5,99,477
 Price range for this vehicle in Fair condition","₹5,79,031 - ₹6,14,847
 Price range for this vehicle in Good condition","₹5,93,507 - ₹6,30,219
 Price range for this vehicle in Very Good condition","₹6,07,983 - ₹6,45,590
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
