RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 32,"₹4,73,329 - ₹5,02,607
 Price range for this vehicle in Fair condition","₹4,85,465 - ₹5,15,494
 Price range for this vehicle in Good condition","₹4,97,602 - ₹5,28,382
 Price range for this vehicle in Very Good condition","₹5,09,739 - ₹5,41,269
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹2,73,330 - ₹2,90,237
 Price range for this vehicle in Fair condition","₹2,80,339 - ₹2,97,680
 Price range for this vehicle in Good condition","₹2,87,348 - ₹3,05,121
 Price range for this vehicle in Very Good condition","₹2,94,355 - ₹3,12,563
 Price range for this vehicle in Excellent condition","5.2



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 48,"₹6,46,497 - ₹6,86,487
 Price range for this vehicle in Fair condition","₹6,63,075 - ₹7,04,090
 Price range for this vehicle in Good condition","₹6,79,651 - ₹7,21,692
 Price range for this vehicle in Very Good condition","₹6,96,228 - ₹7,39,294
 Price range for this vehicle in Excellent condition","3.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹4,37,591 - ₹4,64,658
 Price range for this vehicle in Fair condition","₹4,48,810 - ₹4,76,572
 Price range for this vehicle in Good condition","₹4,60,031 - ₹4,88,487
 Price range for this vehicle in Very Good condition","₹4,71,252 - ₹5,00,401
 Price range for this vehicle in Excellent condition","5.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 05,"₹1,98,134 - ₹2,10,390
 Price range for this vehicle in Fair condition","₹2,03,214 - ₹2,15,784
 Price range for this vehicle in Good condition","₹2,08,295 - ₹2,21,179
 Price range for this vehicle in Very Good condition","₹2,13,375 - ₹2,26,573
 Price range for this vehicle in Excellent condition","7.3



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,50,462 - ₹3,72,141
 Price range for this vehicle in Fair condition","₹3,59,449 - ₹3,81,683
 Price range for this vehicle in Good condition","₹3,68,435 - ₹3,91,225
 Price range for this vehicle in Very Good condition","₹3,77,422 - ₹4,00,767
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹2,67,391 - ₹2,83,931
 Price range for this vehicle in Fair condition","₹2,74,247 - ₹2,91,210
 Price range for this vehicle in Good condition","₹2,81,103 - ₹2,98,491
 Price range for this vehicle in Very Good condition","₹2,87,959 - ₹3,05,771
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 46,"₹6,28,042 - ₹6,66,889
 Price range for this vehicle in Fair condition","₹6,44,145 - ₹6,83,989
 Price range for this vehicle in Good condition","₹6,60,249 - ₹7,01,089
 Price range for this vehicle in Very Good condition","₹6,76,352 - ₹7,18,188
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹5,48,711 - ₹5,82,652
 Price range for this vehicle in Fair condition","₹5,62,781 - ₹5,97,592
 Price range for this vehicle in Good condition","₹5,76,850 - ₹6,12,532
 Price range for this vehicle in Very Good condition","₹5,90,920 - ₹6,27,471
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 05,"₹25,150 - ₹26,705
 Price range for this vehicle in Fair condition","₹25,795 - ₹27,391
 Price range for this vehicle in Good condition","₹26,439 - ₹28,075
 Price range for this vehicle in Very Good condition","₹27,084 - ₹28,760
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹6,13,377 - ₹6,51,318
 Price range for this vehicle in Fair condition","₹6,29,105 - ₹6,68,019
 Price range for this vehicle in Good condition","₹6,44,832 - ₹6,84,720
 Price range for this vehicle in Very Good condition","₹6,60,561 - ₹7,01,420
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,91,233 - ₹4,15,434
 Price range for this vehicle in Fair condition","₹4,01,265 - ₹4,26,086
 Price range for this vehicle in Good condition","₹4,11,297 - ₹4,36,738
 Price range for this vehicle in Very Good condition","₹4,21,329 - ₹4,47,391
 Price range for this vehicle in Excellent condition","7.3



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹4,65,666 - ₹4,94,470
 Price range for this vehicle in Fair condition","₹4,77,606 - ₹5,07,149
 Price range for this vehicle in Good condition","₹4,89,546 - ₹5,19,827
 Price range for this vehicle in Very Good condition","₹5,01,486 - ₹5,32,506
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,28,940 - ₹3,49,287
 Price range for this vehicle in Fair condition","₹3,37,374 - ₹3,58,243
 Price range for this vehicle in Good condition","₹3,45,809 - ₹3,67,199
 Price range for this vehicle in Very Good condition","₹3,54,244 - ₹3,76,155
 Price range for this vehicle in Excellent condition","7.5



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹4,31,043 - ₹4,57,706
 Price range for this vehicle in Fair condition","₹4,42,096 - ₹4,69,442
 Price range for this vehicle in Good condition","₹4,53,149 - ₹4,81,178
 Price range for this vehicle in Very Good condition","₹4,64,201 - ₹4,92,914
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 47,"₹7,94,124 - ₹8,43,245
 Price range for this vehicle in Fair condition","₹8,14,486 - ₹8,64,867
 Price range for this vehicle in Good condition","₹8,34,848 - ₹8,86,489
 Price range for this vehicle in Very Good condition","₹8,55,211 - ₹9,08,110
 Price range for this vehicle in Excellent condition","3.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹2,57,107 - ₹2,73,011
 Price range for this vehicle in Fair condition","₹2,63,700 - ₹2,80,011
 Price range for this vehicle in Good condition","₹2,70,292 - ₹2,87,012
 Price range for this vehicle in Very Good condition","₹2,76,885 - ₹2,94,012
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹1,89,043 - ₹2,00,736
 Price range for this vehicle in Fair condition","₹1,93,890 - ₹2,05,883
 Price range for this vehicle in Good condition","₹1,98,737 - ₹2,11,030
 Price range for this vehicle in Very Good condition","₹2,03,584 - ₹2,16,177
 Price range for this vehicle in Excellent condition","7.5



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,65,097 - ₹3,87,681
 Price range for this vehicle in Fair condition","₹3,74,459 - ₹3,97,621
 Price range for this vehicle in Good condition","₹3,83,820 - ₹4,07,562
 Price range for this vehicle in Very Good condition","₹3,93,182 - ₹4,17,503
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹6,60,065 - ₹7,00,893
 Price range for this vehicle in Fair condition","₹6,76,989 - ₹7,18,865
 Price range for this vehicle in Good condition","₹6,93,914 - ₹7,36,837
 Price range for this vehicle in Very Good condition","₹7,10,839 - ₹7,54,808
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹4,17,628 - ₹4,43,460
 Price range for this vehicle in Fair condition","₹4,28,336 - ₹4,54,831
 Price range for this vehicle in Good condition","₹4,39,044 - ₹4,66,202
 Price range for this vehicle in Very Good condition","₹4,49,753 - ₹4,77,573
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹3,21,372 - ₹3,41,250
 Price range for this vehicle in Fair condition","₹3,38,089 - ₹3,59,002
 Price range for this vehicle in Good condition","₹3,54,805 - ₹3,76,752
 Price range for this vehicle in Very Good condition","₹3,71,485 - ₹3,94,463
 Price range for this vehicle in Excellent condition","4.4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 03,"₹3,78,798 - ₹4,02,229
 Price range for this vehicle in Fair condition","₹3,88,511 - ₹4,12,543
 Price range for this vehicle in Good condition","₹3,98,224 - ₹4,22,856
 Price range for this vehicle in Very Good condition","₹4,07,937 - ₹4,33,170
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 12,"₹1,96,837 - ₹2,09,012
 Price range for this vehicle in Fair condition","₹2,01,884 - ₹2,14,371
 Price range for this vehicle in Good condition","₹2,06,931 - ₹2,19,731
 Price range for this vehicle in Very Good condition","₹2,11,978 - ₹2,25,090
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
HR 26,"₹3,87,840 - ₹4,11,831
 Price range for this vehicle in Fair condition","₹3,97,785 - ₹4,22,390
 Price range for this vehicle in Good condition","₹4,07,730 - ₹4,32,950
 Price range for this vehicle in Very Good condition","₹4,17,675 - ₹4,43,510
 Price range for this vehicle in Excellent condition","5.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 06,"₹3,44,301 - ₹3,65,599
 Price range for this vehicle in Fair condition","₹3,53,130 - ₹3,74,973
 Price range for this vehicle in Good condition","₹3,61,957 - ₹3,84,346
 Price range for this vehicle in Very Good condition","₹3,70,786 - ₹3,93,721
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,99,235 - ₹4,23,930
 Price range for this vehicle in Fair condition","₹4,09,472 - ₹4,34,800
 Price range for this vehicle in Good condition","₹4,19,709 - ₹4,45,670
 Price range for this vehicle in Very Good condition","₹4,29,946 - ₹4,56,540
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,88,670 - ₹4,12,710
 Price range for this vehicle in Fair condition","₹3,98,635 - ₹4,23,293
 Price range for this vehicle in Good condition","₹4,08,601 - ₹4,33,876
 Price range for this vehicle in Very Good condition","₹4,18,567 - ₹4,44,457
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
