RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 14,"₹1,32,346 - ₹1,40,533
 Price range for this vehicle in Fair condition","₹1,35,740 - ₹1,44,137
 Price range for this vehicle in Good condition","₹1,39,134 - ₹1,47,740
 Price range for this vehicle in Very Good condition","₹1,42,528 - ₹1,51,344
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-getz-glx-2007-6131e8be9c3b49ec048b46a1
MH 12,"₹2,35,516 - ₹2,50,084
 Price range for this vehicle in Fair condition","₹2,41,555 - ₹2,56,496
 Price range for this vehicle in Good condition","₹2,47,594 - ₹2,62,909
 Price range for this vehicle in Very Good condition","₹2,53,633 - ₹2,69,321
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-zx-gxi-2007-612a0376d5ceb6be408b4590
MH 12,"₹1,87,949 - ₹1,99,575
 Price range for this vehicle in Fair condition","₹1,92,767 - ₹2,04,691
 Price range for this vehicle in Good condition","₹1,97,587 - ₹2,09,809
 Price range for this vehicle in Very Good condition","₹2,02,406 - ₹2,14,926
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-ritz-vxi-2012-612a12aef3ed4415068b45b7
MH 14,"₹4,08,984 - ₹4,34,282
 Price range for this vehicle in Fair condition","₹4,19,471 - ₹4,45,418
 Price range for this vehicle in Good condition","₹4,29,957 - ₹4,56,553
 Price range for this vehicle in Very Good condition","₹4,40,444 - ₹4,67,689
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-verna-fluidic-16-sx-vtvt-2013-612ca79446883a16098b4830
MH 02,"₹4,57,270 - ₹4,85,555
 Price range for this vehicle in Fair condition","₹4,68,995 - ₹4,98,005
 Price range for this vehicle in Good condition","₹4,80,720 - ₹5,10,456
 Price range for this vehicle in Very Good condition","₹4,92,445 - ₹5,22,906
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-swift-dzire-zdi-2013-612cba035160516b198b45ea
MH 12,"₹31,031 - ₹32,950
 Price range for this vehicle in Fair condition","₹31,826 - ₹33,795
 Price range for this vehicle in Good condition","₹32,622 - ₹34,640
 Price range for this vehicle in Very Good condition","₹33,418 - ₹35,485
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/fiat-palio-12-el-ps-2003-613a0b02b2dbeffc058b461e
MH 12,"₹4,83,000 - ₹5,12,877
 Price range for this vehicle in Fair condition","₹4,95,385 - ₹5,26,027
 Price range for this vehicle in Good condition","₹5,07,769 - ₹5,39,177
 Price range for this vehicle in Very Good condition","₹5,20,154 - ₹5,52,329
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/tata-tiago-revotron-xz-2020-6126289046883ac77c8b4a26
MH 14,"₹3,42,243 - ₹3,63,413
 Price range for this vehicle in Fair condition","₹3,51,019 - ₹3,72,731
 Price range for this vehicle in Good condition","₹3,59,794 - ₹3,82,049
 Price range for this vehicle in Very Good condition","₹3,68,569 - ₹3,91,367
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/toyota-innova-25-g-diesel-8-seater-bs-iv-2014-6126286a59554220068b45cb
MH 14,"₹1,97,552 - ₹2,09,772
 Price range for this vehicle in Fair condition","₹2,02,618 - ₹2,15,151
 Price range for this vehicle in Good condition","₹2,07,683 - ₹2,20,529
 Price range for this vehicle in Very Good condition","₹2,12,749 - ₹2,25,908
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-alto-800-lxi-2015-6126277859554218068b45ad
MH 12,"₹2,35,015 - ₹2,49,552
 Price range for this vehicle in Fair condition","₹2,41,041 - ₹2,55,950
 Price range for this vehicle in Good condition","₹2,47,067 - ₹2,62,349
 Price range for this vehicle in Very Good condition","₹2,53,093 - ₹2,68,748
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-zx-gxi-2007-612a0c40f3ed449b068b4579
MH 12,"₹4,67,259 - ₹4,96,161
 Price range for this vehicle in Fair condition","₹4,79,240 - ₹5,08,884
 Price range for this vehicle in Good condition","₹4,91,221 - ₹5,21,606
 Price range for this vehicle in Very Good condition","₹5,03,202 - ₹5,34,328
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/toyota-innova-25-v-7-str-2010-612a0e9c9619e2a04d8b45af
MH 12,"₹5,11,824 - ₹5,43,483
 Price range for this vehicle in Fair condition","₹5,24,948 - ₹5,57,419
 Price range for this vehicle in Good condition","₹5,38,071 - ₹5,71,354
 Price range for this vehicle in Very Good condition","₹5,51,195 - ₹5,85,289
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/maruti-suzuki-ciaz-vdi-shvs-2015-612a0fb5f3ed4411068b45aa
JH 01,"₹3,80,903 - ₹4,04,464
 Price range for this vehicle in Fair condition","₹3,90,670 - ₹4,14,835
 Price range for this vehicle in Good condition","₹4,00,437 - ₹4,25,206
 Price range for this vehicle in Very Good condition","₹4,10,203 - ₹4,35,577
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-swift-dzire-vxi-2015-5fa51ed8a4865d96068b45c3
MH 01,"₹4,25,171 - ₹4,51,470
 Price range for this vehicle in Fair condition","₹4,36,072 - ₹4,63,046
 Price range for this vehicle in Good condition","₹4,46,974 - ₹4,74,622
 Price range for this vehicle in Very Good condition","₹4,57,876 - ₹4,86,198
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/volkswagen-polo-12-mpi-highline-2015-602b954e68865dc0180e61f4
MH 12,"₹3,69,505 - ₹3,92,361
 Price range for this vehicle in Fair condition","₹3,78,980 - ₹4,02,422
 Price range for this vehicle in Good condition","₹3,88,454 - ₹4,12,483
 Price range for this vehicle in Very Good condition","₹3,97,929 - ₹4,22,543
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/hyundai-i20-sportz-12-o-2015-60aca5f516de8595288b460b
MH 12,"₹3,42,740 - ₹3,63,940
 Price range for this vehicle in Fair condition","₹3,51,528 - ₹3,73,272
 Price range for this vehicle in Good condition","₹3,60,317 - ₹3,82,604
 Price range for this vehicle in Very Good condition","₹3,69,105 - ₹3,91,936
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-e-i-vtec-2013-6131a13ef8dd514c0c8b4597
MH 08,"₹5,19,936 - ₹5,52,097
 Price range for this vehicle in Fair condition","₹5,33,267 - ₹5,66,253
 Price range for this vehicle in Good condition","₹5,46,599 - ₹5,80,409
 Price range for this vehicle in Very Good condition","₹5,59,931 - ₹5,94,566
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/maruti-suzuki-ertiga-vdi-2016-6131a09746883ad01c8b46ed
MH 12,"₹7,66,645 - ₹8,14,066
 Price range for this vehicle in Fair condition","₹7,86,302 - ₹8,34,939
 Price range for this vehicle in Good condition","₹8,05,960 - ₹8,55,813
 Price range for this vehicle in Very Good condition","₹8,25,618 - ₹8,76,687
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/maruti-suzuki-baleno-delta-12-cvt-bs6-2020-61319ffd9c3b49f7058b458c
MH 12,"₹2,30,950 - ₹2,45,236
 Price range for this vehicle in Fair condition","₹2,36,872 - ₹2,51,524
 Price range for this vehicle in Good condition","₹2,42,794 - ₹2,57,812
 Price range for this vehicle in Very Good condition","₹2,48,716 - ₹2,64,100
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-vxi-2014-61319edda17e31dc098b45a3
MH 14,"₹5,23,686 - ₹5,56,080
 Price range for this vehicle in Fair condition","₹5,37,115 - ₹5,70,339
 Price range for this vehicle in Good condition","₹5,50,543 - ₹5,84,597
 Price range for this vehicle in Very Good condition","₹5,63,971 - ₹5,98,855
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/renault-duster-110-ps-rxl-2014-6130c75f45e9defd058b46f0
MH 12,"₹2,74,437 - ₹2,91,412
 Price range for this vehicle in Fair condition","₹2,81,473 - ₹2,98,884
 Price range for this vehicle in Good condition","₹2,88,510 - ₹3,06,356
 Price range for this vehicle in Very Good condition","₹2,95,547 - ₹3,13,828
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-civic-18-s-mt-2006-6130c36b45e9de60338b4765
MH 14,"₹34,595 - ₹36,734
 Price range for this vehicle in Fair condition","₹35,482 - ₹37,677
 Price range for this vehicle in Good condition","₹36,369 - ₹38,618
 Price range for this vehicle in Very Good condition","₹37,256 - ₹39,560
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-15-gxi-2004-6130cacf45e9de5b098b4737
MH 14,"₹7,16,006 - ₹7,60,295
 Price range for this vehicle in Fair condition","₹7,34,365 - ₹7,79,790
 Price range for this vehicle in Good condition","₹7,52,724 - ₹7,99,285
 Price range for this vehicle in Very Good condition","₹7,71,083 - ₹8,18,779
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/maruti-suzuki-vitara-brezza-zdi-2018-6131f1f5a17e31bc148b46ca
MH 14,"₹1,21,019 - ₹1,28,505
 Price range for this vehicle in Fair condition","₹1,24,122 - ₹1,31,800
 Price range for this vehicle in Good condition","₹1,27,226 - ₹1,35,095
 Price range for this vehicle in Very Good condition","₹1,30,328 - ₹1,38,390
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-santro-xing-gls-2006-60fbdc337caff7fd058b4573
MH 47,"₹2,56,911 - ₹2,72,803
 Price range for this vehicle in Fair condition","₹2,63,499 - ₹2,79,798
 Price range for this vehicle in Good condition","₹2,70,086 - ₹2,86,793
 Price range for this vehicle in Very Good condition","₹2,76,674 - ₹2,93,788
 Price range for this vehicle in Excellent condition","5.6



Health Score",https://droom.in/product/tata-indigo-ecs-lx-cr4-bs-iv-2016-6135db40a48d451a068b4673
MH 12,"₹1,43,088 - ₹1,51,939
 Price range for this vehicle in Fair condition","₹1,46,757 - ₹1,55,835
 Price range for this vehicle in Good condition","₹1,50,426 - ₹1,59,731
 Price range for this vehicle in Very Good condition","₹1,54,095 - ₹1,63,627
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/tata-nano-emax-lx-2016-6129f19c3d933400068b4653
MH 03,"₹1,40,190 - ₹1,48,861
 Price range for this vehicle in Fair condition","₹1,43,784 - ₹1,52,678
 Price range for this vehicle in Good condition","₹1,47,379 - ₹1,56,496
 Price range for this vehicle in Very Good condition","₹1,50,974 - ₹1,60,312
 Price range for this vehicle in Excellent condition","6



Health Score",https://droom.in/product/hyundai-santro-xing-xo-erlx-euro-ii-2007-612eb267f7156c3f0e8b45ac128
MH 14,"₹1,49,250 - ₹1,58,482
 Price range for this vehicle in Fair condition","₹1,53,077 - ₹1,62,546
 Price range for this vehicle in Good condition","₹1,56,904 - ₹1,66,609
 Price range for this vehicle in Very Good condition","₹1,60,731 - ₹1,70,673
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-lxi-cng-2008-6129f4956907cc81278b45e1
MH 42,"₹8,60,075 - ₹9,13,275
 Price range for this vehicle in Fair condition","₹8,82,128 - ₹9,36,693
 Price range for this vehicle in Good condition","₹9,04,181 - ₹9,60,110
 Price range for this vehicle in Very Good condition","₹9,26,234 - ₹9,83,527
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/maruti-suzuki-vitara-brezza-zdi-plus-dual-tone-amt-2018-61150b6ff8444001068b464a
MH 12,"₹3,12,897 - ₹3,32,251
 Price range for this vehicle in Fair condition","₹3,20,920 - ₹3,40,771
 Price range for this vehicle in Good condition","₹3,28,943 - ₹3,49,290
 Price range for this vehicle in Very Good condition","₹3,36,966 - ₹3,57,809
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-zx-vtec-plus-2008-61276c1d577e0a51048b46cd
MH 12,"₹1,28,197 - ₹1,36,126
 Price range for this vehicle in Fair condition","₹1,31,484 - ₹1,39,617
 Price range for this vehicle in Good condition","₹1,34,771 - ₹1,43,107
 Price range for this vehicle in Very Good condition","₹1,38,058 - ₹1,46,597
 Price range for this vehicle in Excellent condition","6



Health Score",https://droom.in/product/chevrolet-spark-ls-10-bs-iv-obdii-2011-613f273c46883a0e0d8b4a07
MH 12,"₹26,20,044 - ₹27,82,109
 Price range for this vehicle in Fair condition","₹26,87,225 - ₹28,53,445
 Price range for this vehicle in Good condition","₹27,54,406 - ₹29,24,781
 Price range for this vehicle in Very Good condition","₹28,21,586 - ₹29,96,117
 Price range for this vehicle in Excellent condition","7.1



Health Score",https://droom.in/product/bmw-5-series-520d-luxury-line-2014-5edd08ee60865d5d08e54c81113
MH 12,"₹2,22,709 - ₹2,36,484
 Price range for this vehicle in Fair condition","₹2,28,419 - ₹2,42,548
 Price range for this vehicle in Good condition","₹2,34,130 - ₹2,48,612
 Price range for this vehicle in Very Good condition","₹2,39,840 - ₹2,54,676
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-lxi-cng-2012-6138860a20a6009a398b45ec
MH 12,"₹15,94,608 - ₹16,93,243
 Price range for this vehicle in Fair condition","₹16,35,495 - ₹17,36,660
 Price range for this vehicle in Good condition","₹16,76,383 - ₹17,80,076
 Price range for this vehicle in Very Good condition","₹17,17,270 - ₹18,23,493
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/toyota-innova-crysta-24-vx-7-str-2018-6139bbd6f9eca3c5138b45e7
MH 12,"₹3,57,602 - ₹3,79,722
 Price range for this vehicle in Fair condition","₹3,66,771 - ₹3,89,458
 Price range for this vehicle in Good condition","₹3,75,940 - ₹3,99,194
 Price range for this vehicle in Very Good condition","₹3,85,110 - ₹4,08,930
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-i20-sportz-12-2013-6139c11846883a35468b4820
MH 14,"₹10,75,464 - ₹11,41,987
 Price range for this vehicle in Fair condition","₹11,03,040 - ₹11,71,269
 Price range for this vehicle in Good condition","₹11,30,616 - ₹12,00,551
 Price range for this vehicle in Very Good condition","₹11,58,192 - ₹12,29,833
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/hyundai-venue-sx-14-o-crdi-2020-6139c09146883a3b468b47f6
MH 12,"₹2,57,258 - ₹2,73,172
 Price range for this vehicle in Fair condition","₹2,63,855 - ₹2,80,176
 Price range for this vehicle in Good condition","₹2,70,452 - ₹2,87,181
 Price range for this vehicle in Very Good condition","₹2,77,048 - ₹2,94,185
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-sx4-vxi-2011-610235280b02c168068b4574
MH 12,"₹1,84,006 - ₹1,95,388
 Price range for this vehicle in Fair condition","₹1,88,724 - ₹2,00,398
 Price range for this vehicle in Good condition","₹1,93,442 - ₹2,05,408
 Price range for this vehicle in Very Good condition","₹1,98,160 - ₹2,10,418
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/chevrolet-sail-hatchback-12-ls-2013-610256ca46883a08288b4a56
MH 02,"₹3,34,147 - ₹3,54,816
 Price range for this vehicle in Fair condition","₹3,42,714 - ₹3,63,913
 Price range for this vehicle in Good condition","₹3,51,282 - ₹3,73,011
 Price range for this vehicle in Very Good condition","₹3,59,850 - ₹3,82,109
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-s-i-vtec-2012-6102389371d47ccb5d8b4587
MH 14,"₹4,42,122 - ₹4,69,470
 Price range for this vehicle in Fair condition","₹4,53,459 - ₹4,81,508
 Price range for this vehicle in Good condition","₹4,64,795 - ₹4,93,545
 Price range for this vehicle in Very Good condition","₹4,76,132 - ₹5,05,583
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-baleno-delta-12-2017-6113c894d5ceb683078b4758
MH 12,"₹16,16,653 - ₹17,16,653
 Price range for this vehicle in Fair condition","₹16,58,106 - ₹17,60,670
 Price range for this vehicle in Good condition","₹16,99,559 - ₹18,04,686
 Price range for this vehicle in Very Good condition","₹17,41,011 - ₹18,48,703
 Price range for this vehicle in Excellent condition","6.7



Health Score",https://droom.in/product/toyota-innova-crysta-24-vx-8-str-2018-5f3cfc3985865d4b08ca1dd8
MH 12,"₹1,56,990 - ₹1,66,701
 Price range for this vehicle in Fair condition","₹1,61,015 - ₹1,70,975
 Price range for this vehicle in Good condition","₹1,65,041 - ₹1,75,250
 Price range for this vehicle in Very Good condition","₹1,69,067 - ₹1,79,524
 Price range for this vehicle in Excellent condition","7.5



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-lxi-cng-2009-5f4761a726724b6a078b456f
MH 12,"₹4,89,250 - ₹5,19,513
 Price range for this vehicle in Fair condition","₹5,01,795 - ₹5,32,834
 Price range for this vehicle in Good condition","₹5,14,339 - ₹5,46,154
 Price range for this vehicle in Very Good condition","₹5,26,884 - ₹5,59,475
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/skoda-superb-25-tdi-at-2010-612a0d34d5ceb6ae7d8b4626
MH 14,"₹12,70,563 - ₹13,49,154
 Price range for this vehicle in Fair condition","₹13,03,142 - ₹13,83,749
 Price range for this vehicle in Good condition","₹13,35,720 - ₹14,18,342
 Price range for this vehicle in Very Good condition","₹13,68,299 - ₹14,52,936
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/hyundai-creta-16-sx-at-petrol-2019-5e2586dffb80ad0002533a6e
MH 14,"₹7,18,634 - ₹7,63,085
 Price range for this vehicle in Fair condition","₹7,37,061 - ₹7,82,652
 Price range for this vehicle in Good condition","₹7,55,487 - ₹8,02,218
 Price range for this vehicle in Very Good condition","₹7,73,914 - ₹8,21,785
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/mahindra-xuv500-w9-2018-60ac9193e80efaf4048b4589
MH 12,"₹3,09,144 - ₹3,28,266
 Price range for this vehicle in Fair condition","₹3,17,070 - ₹3,36,683
 Price range for this vehicle in Good condition","₹3,24,997 - ₹3,45,100
 Price range for this vehicle in Very Good condition","₹3,32,924 - ₹3,53,517
 Price range for this vehicle in Excellent condition","4.4



Health Score",https://droom.in/product/toyota-etios-gd-2015-610cc8909ef6ac4e068b4585499
MH 12,"₹2,64,967 - ₹2,81,357
 Price range for this vehicle in Fair condition","₹2,71,761 - ₹2,88,571
 Price range for this vehicle in Good condition","₹2,78,555 - ₹2,95,786
 Price range for this vehicle in Very Good condition","₹2,85,349 - ₹3,03,000
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-i10-sportz-12-2012-610a7ac0533b371f068b4582
MH 14,"₹5,74,149 - ₹6,09,664
 Price range for this vehicle in Fair condition","₹5,88,871 - ₹6,25,296
 Price range for this vehicle in Good condition","₹6,03,593 - ₹6,40,928
 Price range for this vehicle in Very Good condition","₹6,18,315 - ₹6,56,561
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-swift-vxi-2019-610a74e679c5bf37078b4622
MH 12,"3.6



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-lxi-10-cng-2017-5f8c1907426e4bc40816e22e
MH 14,"₹7,74,621 - ₹8,22,535
 Price range for this vehicle in Fair condition","₹7,94,482 - ₹8,43,626
 Price range for this vehicle in Good condition","₹8,14,345 - ₹8,64,716
 Price range for this vehicle in Very Good condition","₹8,34,207 - ₹8,85,807
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/hyundai-creta-16-sx-diesel-2015-61656aad46883a4e5b8b4609
MH 14,"₹2,43,056 - ₹2,58,090
 Price range for this vehicle in Fair condition","₹2,49,288 - ₹2,64,708
 Price range for this vehicle in Good condition","₹2,55,520 - ₹2,71,326
 Price range for this vehicle in Very Good condition","₹2,61,752 - ₹2,77,943
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-lxi-cng-2014-616567aaf55a081a068b4621
MH 47,"₹5,40,355 - ₹5,73,779
 Price range for this vehicle in Fair condition","₹5,54,210 - ₹5,88,491
 Price range for this vehicle in Good condition","₹5,68,065 - ₹6,03,203
 Price range for this vehicle in Very Good condition","₹5,81,921 - ₹6,17,916
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-s-cross-zeta-13-2015-6108ee8f762a503f068b462c
MH 01,"₹4,41,142 - ₹4,68,429
 Price range for this vehicle in Fair condition","₹4,52,453 - ₹4,80,440
 Price range for this vehicle in Good condition","₹4,63,764 - ₹4,92,451
 Price range for this vehicle in Very Good condition","₹4,75,076 - ₹5,04,462
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-verna-16-vtvt-sx-at-2013-611e365b34f5b7ff058b45c5
MH 14,"₹5,90,863 - ₹6,27,410
 Price range for this vehicle in Fair condition","₹6,06,012 - ₹6,43,497
 Price range for this vehicle in Good condition","₹6,21,162 - ₹6,59,586
 Price range for this vehicle in Very Good condition","₹6,36,313 - ₹6,75,673
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/maruti-suzuki-ertiga-vxi-at-2017-6161691e46883a5d508b468e
MH 12,"₹3,63,855 - ₹3,86,361
 Price range for this vehicle in Fair condition","₹3,73,184 - ₹3,96,268
 Price range for this vehicle in Good condition","₹3,82,514 - ₹4,06,175
 Price range for this vehicle in Very Good condition","₹3,91,843 - ₹4,16,081
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-vxi-2018-616167b05b2c7a4b468b460d
MH 48,"₹21,02,351 - ₹22,32,393
 Price range for this vehicle in Fair condition","₹21,56,258 - ₹22,89,634
 Price range for this vehicle in Good condition","₹22,10,164 - ₹23,46,875
 Price range for this vehicle in Very Good condition","₹22,64,070 - ₹24,04,116
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/toyota-fortuner-28-4x2-at-2018-616163bc87935bfc048b4607
MH 12,"₹1,27,687 - ₹1,35,585
 Price range for this vehicle in Fair condition","₹1,30,961 - ₹1,39,062
 Price range for this vehicle in Good condition","₹1,34,235 - ₹1,42,539
 Price range for this vehicle in Very Good condition","₹1,37,509 - ₹1,46,015
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/tata-nano-twist-xt-2016-61615ddf5b2c7a49468b45ad
MH 12,"₹4,67,250 - ₹4,96,152
 Price range for this vehicle in Fair condition","₹4,79,231 - ₹5,08,874
 Price range for this vehicle in Good condition","₹4,91,212 - ₹5,21,596
 Price range for this vehicle in Very Good condition","₹5,03,192 - ₹5,34,317
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/honda-jazz-s-i-dtec-2016-616158255b2c7a79468b45c6
MH 14,"₹1,81,104 - ₹1,92,306
 Price range for this vehicle in Fair condition","₹1,85,747 - ₹1,97,237
 Price range for this vehicle in Good condition","₹1,90,391 - ₹2,02,168
 Price range for this vehicle in Very Good condition","₹1,95,034 - ₹2,07,099
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-lxi-bs-iv-2012-615efbaf32b40b06078b4598
MH 12,"₹2,22,290 - ₹2,36,040
 Price range for this vehicle in Fair condition","₹2,27,990 - ₹2,42,092
 Price range for this vehicle in Good condition","₹2,33,689 - ₹2,48,144
 Price range for this vehicle in Very Good condition","₹2,39,389 - ₹2,54,196
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-vxi-bs-iv-2013-615efaa532b40b13068b457f
MH 12,"₹1,60,820 - ₹1,70,768
 Price range for this vehicle in Fair condition","₹1,64,944 - ₹1,75,147
 Price range for this vehicle in Good condition","₹1,69,068 - ₹1,79,526
 Price range for this vehicle in Very Good condition","₹1,73,191 - ₹1,83,904
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-alto-k10-vxi-2011-615ef55a4c1a982d068b456a
MH 12,"₹31,376 - ₹33,317
 Price range for this vehicle in Fair condition","₹32,181 - ₹34,171
 Price range for this vehicle in Good condition","₹32,986 - ₹35,026
 Price range for this vehicle in Very Good condition","₹33,790 - ₹35,880
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-accent-gls-2004-615ef44d85bc231a068b456a
MH 14,"₹8,32,064 - ₹8,83,532
 Price range for this vehicle in Fair condition","₹8,53,399 - ₹9,06,186
 Price range for this vehicle in Good condition","₹8,74,733 - ₹9,28,841
 Price range for this vehicle in Very Good condition","₹8,96,068 - ₹9,51,495
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-v-i-vtec-2019-61287e1c8491fd15068b456c
MH 12,"₹4,21,310 - ₹4,47,370
 Price range for this vehicle in Fair condition","₹4,32,113 - ₹4,58,842
 Price range for this vehicle in Good condition","₹4,42,916 - ₹4,70,312
 Price range for this vehicle in Very Good condition","₹4,53,719 - ₹4,81,784
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-ciaz-zxi-o-2014-60fea2ed6f00a985078b462b
MH 04,"₹1,86,038 - ₹1,97,546
 Price range for this vehicle in Fair condition","₹1,90,808 - ₹2,02,611
 Price range for this vehicle in Good condition","₹1,95,579 - ₹2,07,676
 Price range for this vehicle in Very Good condition","₹2,00,348 - ₹2,12,741
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-15-gxi-2007-611e3d23931784f9078b4632
MH 14,"₹2,22,272 - ₹2,36,021
 Price range for this vehicle in Fair condition","₹2,27,971 - ₹2,42,072
 Price range for this vehicle in Good condition","₹2,33,671 - ₹2,48,124
 Price range for this vehicle in Very Good condition","₹2,39,370 - ₹2,54,176
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/tata-indica-vista-lx-quadrajet-2015-611512af97c9a112068b46a5
MH 01,"₹3,50,430 - ₹3,72,106
 Price range for this vehicle in Fair condition","₹3,59,415 - ₹3,81,647
 Price range for this vehicle in Good condition","₹3,68,400 - ₹3,91,188
 Price range for this vehicle in Very Good condition","₹3,77,386 - ₹4,00,729
 Price range for this vehicle in Excellent condition","7.5



Health Score",https://droom.in/product/honda-city-15-s-mt-2009-5ee0cbfcdaa74cff0ef29aa0
MH 14,"₹3,40,216 - ₹3,61,259
 Price range for this vehicle in Fair condition","₹3,48,939 - ₹3,70,523
 Price range for this vehicle in Good condition","₹3,57,662 - ₹3,79,785
 Price range for this vehicle in Very Good condition","₹3,66,386 - ₹3,89,049
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-swift-vdi-2013-611cc051d86dd414068b4593
MH 14,"4



Health Score",https://droom.in/product/maruti-suzuki-omni-e-mpi-std-bsiv-2011-6110ecc445e9de42068b45a5
MH 12,"₹4,08,876 - ₹4,34,167
 Price range for this vehicle in Fair condition","₹4,19,360 - ₹4,45,300
 Price range for this vehicle in Good condition","₹4,29,845 - ₹4,56,433
 Price range for this vehicle in Very Good condition","₹4,40,328 - ₹4,67,565
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/volkswagen-polo-comfortline-12l-p-2016-616c2f8f3477cb762e8b46ff
MH 12,"₹7,57,293 - ₹8,04,136
 Price range for this vehicle in Fair condition","₹7,76,711 - ₹8,24,755
 Price range for this vehicle in Good condition","₹7,96,128 - ₹8,45,373
 Price range for this vehicle in Very Good condition","₹8,15,546 - ₹8,65,992
 Price range for this vehicle in Excellent condition","5.6



Health Score",https://droom.in/product/maruti-suzuki-s-cross-zeta-13-2018-6172297aad95362b068b4595608
